name,team,opp,salary,fppg,played,injury,inj_details,game,is_home,is_dome,team_implied,game_ou,spread,is_fav,fav_margin,opp_softness_rank,opp_tier,opp_fd_fpa,opp_rush_yds_allowed,opp_rush_td_allowed,rush_yds_ou,rush_att_ou,rec_ou,atd_prob,atd_odds,vegas_implied_fd,value_fd,composite_proj,salary_efficiency,vegas_grade,vegas_takeaway
Rasheen Ali,BAL,IND,4200,1.52,13,,,BAL@IND,False,True,25.5,47.5,-3.5,True,3.5,20,NEUTRAL,18.4,91.2,0.72,31.5,6.5,1.0,0.18,456,5.5,1.31,6.47,1.54,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Michael Carter,TEN,NYJ,4200,6.35,13,,,NYJ@TEN,True,False,20.5,39.5,-1.5,True,1.5,1,SMASH,27.6,111.3,1.09,25.5,6.5,1.5,0.251,298,5.95,1.42,8.28,1.97,FADE,Limited touch share: Negative game script or secondary change-of-pace role
Roschon Johnson,CHI,CAR,4200,0.57,3,,,CHI@CAR,False,False,25.25,47.5,-3.0,True,3.0,7,FAVORABLE,22.4,108.1,1.02,31.5,6.5,1.0,0.18,456,5.5,1.31,8.43,2.01,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Kendre Miller,NO,DET,4200,4.4,7,Q,Undisclosed,NO@DET,False,True,21.25,49.5,7.0,False,-7.0,23,TOUGH,18.5,94.0,0.75,26.5,6.5,1.0,0.18,456,5.0,1.19,3.03,0.72,FADE,Limited touch share: Negative game script or secondary change-of-pace role
Sione Vaki,DET,NO,4100,0.07,6,,,NO@DET,True,True,28.25,49.5,-7.0,True,7.0,19,NEUTRAL,18.6,100.7,0.61,35.0,6.5,1.0,0.18,456,5.8,1.41,6.92,1.69,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Alec Ingold,LAC,ARI,4100,1.12,9,,,ARI@LAC,True,False,28.75,47.5,-10.0,True,10.0,2,SMASH,25.3,117.9,1.03,35.5,6.5,1.0,0.18,456,5.9,1.44,9.57,2.34,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Jaret Patterson,LAC,ARI,4100,3.46,7,,,ARI@LAC,True,False,28.75,47.5,-10.0,True,10.0,2,SMASH,25.3,117.9,1.03,35.5,6.5,1.0,0.18,456,5.9,1.44,9.57,2.34,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Tahj Brooks,CIN,TB,4100,0.74,8,,,TB@CIN,True,False,27.0,50.5,-3.5,True,3.5,16,NEUTRAL,19.4,78.1,0.5,33.5,6.5,1.0,0.18,456,5.7,1.39,7.28,1.77,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Will Shipley,PHI,WAS,4100,0.94,15,,,WAS@PHI,True,False,25.0,44.5,-5.5,True,5.5,3,SMASH,24.9,121.1,1.05,31.0,6.5,1.0,0.18,456,5.4,1.32,8.93,2.18,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
CJ Donaldson,NO,DET,4000,,0,,,NO@DET,False,True,21.25,49.5,7.0,False,-7.0,23,TOUGH,18.5,94.0,0.75,34.5,8.5,2.5,0.395,153,8.95,2.24,6.97,1.74,ELITE,High-volume RB1/RB2: 34.5 Rush Yds + 2.5 Rec O/U in favorable script
